"Step","Forecast","Standard_Error","Lower_95","Upper_95"
1,0.012393,0.048338,-0.082348,0.107134
2,0.009544,0.048632,-0.085774,0.104862
3,0.009229,0.048636,-0.086096,0.104554
4,0.009194,0.048636,-0.086131,0.104519
5,0.00919,0.048636,-0.086135,0.104515
6,0.00919,0.048636,-0.086135,0.104515
7,0.00919,0.048636,-0.086135,0.104515
8,0.00919,0.048636,-0.086135,0.104515
9,0.00919,0.048636,-0.086135,0.104515
10,0.00919,0.048636,-0.086135,0.104515
11,0.00919,0.048636,-0.086135,0.104515
12,0.00919,0.048636,-0.086135,0.104515
