"Lag","ACF_absolute","ACF_raw"
1,0.194604,-0.019419
2,0.163804,-0.019224
3,0.145914,0.00555
4,0.175777,0.001398
5,0.172722,-0.008384
6,0.149548,0.008614
7,0.130527,0.007734
8,0.132584,-0.004821
9,0.14876,0.008653
10,0.130244,0.007201
11,0.140195,-0.012335
12,0.138381,0.011383
13,0.125267,0.011586
14,0.125627,0.015147
15,0.143456,0.015318
16,0.133542,0.009484
17,0.146427,0.019391
18,0.116231,-0.019104
19,0.128768,-0.026489
20,0.137379,0.023738
21,0.1235,-0.011735
22,0.115124,-0.028073
23,0.114054,-0.032247
24,0.11442,0.022833
25,0.118793,-0.011164
26,0.099298,-0.012657
27,0.123348,0.002357
28,0.108671,0.013424
29,0.122333,-0.004288
30,0.134195,0.002668
31,0.112193,0.000894
32,0.115026,-0.000711
33,0.105456,-0.00054
34,0.115694,-0.009004
35,0.121695,-0.011158
36,0.097083,-0.014902
37,0.102401,-0.017881
38,0.117648,-0.01292
39,0.100372,-0.00242
40,0.091342,-0.005112
41,0.104197,0.012422
42,0.098759,0.007913
43,0.095947,-0.002336
44,0.081984,-1e-05
45,0.120746,0.025086
46,0.099034,-0.008482
47,0.094562,0.00602
48,0.098226,0.006618
49,0.091001,0.000493
50,0.109309,-0.004521
51,0.110241,0.0324
52,0.100801,-0.015816
53,0.098973,0.014825
54,0.094302,-0.007174
55,0.10321,-0.005229
56,0.112172,0.003863
57,0.118264,0.026577
58,0.100738,-0.006917
59,0.090194,-0.00227
60,0.083685,0.018731
61,0.112021,-0.000382
62,0.146507,-0.016775
63,0.131607,0.011088
64,0.101569,0.001673
65,0.100033,0.001144
66,0.085367,-0.007714
67,0.102032,0.006018
68,0.089448,-0.003562
69,0.088635,-0.009081
70,0.075301,-0.005954
71,0.087528,0.011326
72,0.10293,-0.017031
73,0.097131,0.01116
74,0.082308,-0.009384
75,0.086636,-0.003699
76,0.063363,0.009385
77,0.074217,0.013539
78,0.095005,-0.009727
79,0.092622,-0.010523
80,0.101597,-0.006538
81,0.078751,0.023163
82,0.087545,-0.003176
83,0.071192,-0.000896
84,0.071514,0.012685
85,0.076807,0.014529
86,0.079339,-0.01373
87,0.084086,0.007418
88,0.064105,-0.024827
89,0.08436,-0.013378
90,0.077433,-0.005802
91,0.078357,-0.013397
92,0.069657,-0.003602
93,0.085144,-0.012852
94,0.063918,0.007141
95,0.070505,-0.006393
96,0.083044,-0.00733
97,0.079769,-7e-05
98,0.070806,0.00841
99,0.081427,-0.009564
100,0.08189,-0.002434
